x,y
1.858032138398500166e+01,-2.066522654881981680e+01
1.266231831637836258e+01,-1.674825597045077075e+01
1.220282752836516593e+01,-1.586400065637472601e+01
1.174050994405450865e+01,-1.615634658724444606e+01
1.717718065860229615e+01,-1.992260500715335425e+01
1.496697509199205278e+01,-2.052941639957042241e+01
1.790025824279357280e+01,-1.656679606290574824e+01
1.333722793137081375e+01,-2.037992796426767939e+01
1.903645422348639116e+01,-1.959600887699080829e+01
2.241215570731104734e+01,-1.422991171711618819e+01
1.212869377511417213e+01,-1.809066643158687882e+01
1.933020763314739199e+01,-2.056428584687450822e+01
1.519609257196670704e+01,-1.443798157802597260e+01
1.844629385307033331e+01,-1.410331895619579967e+01
1.923992938967375821e+01,-1.625173035535883059e+01
1.492957829583507312e+01,-1.722029012417673499e+01
1.419034576495373123e+01,-1.458899021131590246e+01
1.787965778824182905e+01,-1.988509822226729185e+01
1.162426645510046441e+01,-2.146785727383818099e+01
1.169861030304264204e+01,-2.069966836409550126e+01
1.995353833669173582e+01,-1.703982089808508604e+01
1.569389950636593234e+01,-1.826018196601541632e+01
1.134342492895680721e+01,-1.833830281765758841e+01
2.146257465704611889e+01,-1.780615060475434674e+01
1.846071599576474753e+01,-1.862321857114046253e+01
1.331191785491050794e+01,-2.781429072852179729e+01
1.370248969316718046e+01,-1.794379922072029743e+01
1.325826128603065435e+01,-1.836077075133364289e+01
1.983122432318619133e+01,-1.368759456926150264e+01
2.173394979185079734e+01,-1.834643738278473890e+01
1.300993813158662782e+01,-1.392314669086163725e+01
2.090636541558591333e+01,-1.685390929996961873e+01
1.351066328212446876e+01,-1.417355544846116011e+01
1.788950866342808155e+01,-2.224505694841581516e+01
1.895927166381516926e+01,-1.407225380738874421e+01
1.564791019252096049e+01,-2.371903759438492898e+01
1.477611372426317438e+01,-1.311252625361168356e+01
1.815425706831318564e+01,-2.011668045074156197e+01
1.277076882740400698e+01,-1.812547282964272810e+01
1.721014089565353089e+01,-1.372261378613703364e+01
1.774607669927342712e+01,-1.232698710823681054e+01
1.396514842922485045e+01,-1.949179837435678309e+01
1.719444296843288100e+01,-1.800744150235115626e+01
1.860922708476874021e+01,-1.720364417469058793e+01
1.034006404102414223e+01,-2.045837671377145739e+01
1.924545263889693203e+01,-1.568589280490713556e+01
1.980730454261359696e+01,-2.188199343427064747e+01
1.090785016645515704e+01,-1.454790008470011742e+01
1.423374720319871400e+01,-2.224499633564284906e+01
1.816439671121164068e+01,-2.156322861811447922e+01
2.149615408460331167e+01,-1.945108961555122207e+01
1.882164118824831434e+01,-1.929237884466080999e+01
1.773058947818777042e+01,-2.105570827257281508e+01
1.753774710345672361e+01,-1.856904957487495622e+01
1.771876713615940346e+01,-1.848414782010885915e+01
1.832079583232707876e+01,-1.545754890312326424e+01
1.347064262664396850e+01,-9.975213334553256317e+00
1.601180719403537012e+01,-1.220314814877571763e+01
1.742764793763303643e+01,-1.129830320347998551e+01
1.466339364869940098e+01,-2.150738487116592523e+01
1.748130191766196972e+01,-2.137697500503524850e+01
1.771303548078355306e+01,-1.725033241975807030e+01
1.704156790278322831e+01,-1.655119313314874674e+01
1.593763002377732718e+01,-2.004756724163587478e+01
1.169371235340259929e+01,-2.218264169772596262e+01
1.225992949779709207e+01,-1.382182540837649753e+01
1.668802423996941187e+01,-2.466076820010381709e+01
1.011618158326805883e+01,-1.927770414235576979e+01
1.620561129875023809e+01,-1.139851640433834135e+01
7.721971841517907720e+00,-2.034291390232434793e+01
1.269753571321937180e+01,-1.823317195719024397e+01
2.228925912144422128e+01,-1.610853583230608521e+01
1.127672568508652162e+01,-1.641863014865839787e+01
1.872560734158787099e+01,-1.994367462889394460e+01
1.380020701553294415e+01,-1.314205315376682748e+01
1.833263872291432506e+01,-1.950844974792376263e+01
1.969235214599923722e+01,-1.128669360476106576e+01
1.221803498019052547e+01,-1.648513847280904443e+01
1.666675938997142126e+01,-1.085970561647360633e+01
1.123565732869530009e+01,-2.084407274682009970e+01
1.902668000280371174e+01,-1.975731628920152971e+01
1.443251854803086331e+01,-1.705618261743716246e+01
1.752091098258293655e+01,-2.145086064366865841e+01
1.737722199228027620e+01,-1.522905162888187824e+01
